Country,lnCARS,DEV,lnLENTH,lnALC,lnDTP
Cameroon,2.6973262377392344,0,4.6753402206480565,2.066862759472976,3.4843122883726623
Canada,6.405228458030843,1,4.648988846785179,2.322387720290225,2.0541237336955462
Cape Verde,4.6733894249652375,0,5.813349355541242,1.6054298910365616,3.0204248861443626
Chile,5.135798437050261,0,4.666777372221151,2.175887439948088,2.5176964726109907
China,3.6109179126442235,0,5.997183313213121,1.715598108262491,3.0349529867072724
Colombia,4.219507705176107,0,4.821337196363121,1.885553348514416,2.8903717578961645
Comoros,3.554776469590456,0,6.005194739919884,-1.2729656758128869,3.1045866784660734
"Congo, Democratic Republic",1.6677068205580765,0,4.18122079616154,1.2208299213923592,3.747148362237912
"Congo, Republic",3.3541057741283047,0,3.923015003042172,1.4951487660319729,3.353406717825807
Costa Rica,5.093750200806762,0,6.6128455845258785,1.7595805708638197,2.884800712846709
Côte d´Ivoire,5.356586274672011,0,5.513802816120425,1.867176108512809,3.353406717825807
Croatia,5.961005339623274,0,6.251825571131652,2.7080502011022096,2.6100697927420065
Cuba,3.6375861597263857,0,6.308030416612393,1.6331544390514163,2.066862759472976
Cyprus,6.490723534502507,1,7.369004483615309,2.179286876649552,2.3702437414678603
Czech Republic,6.184148890937482,1,7.3904481367165715,2.8015405441895487,2.0794415416798357
Denmark,6.1675164908883415,1,7.437525939220952,2.4865719291070616,1.6863989535702288
Dominican Republic,4.8283137373023015,0,6.002332832773689,1.837369980480108,3.5496173867804286
Ecuador,4.1588830833596715,0,5.03699290549279,2.2438960966453663,3.0155349008501706
Egypt,3.7376696182833684,0,4.17370725519341,-1.1394342831883648,3.0726933146901194
El Salvador,3.9318256327243257,0,6.2488074511246365,1.3837912309017721,3.4594662897861315
Eritrea,2.4561641809223462,0,3.4981148374802347,0.4946962418361071,3.077312260546414
Estonia,6.1675164908883415,0,7.1571121819721615,2.847232265235547,2.360854001118021
Ethiopia,1.1568811967920856,0,3.476790667385122,1.4109869737102618,3.632309102625542
Finland,6.280395838960196,1,5.4460982189082845,2.5726122302071057,1.7404661748405046
France,6.393590753950631,1,7.460975978833692,2.524127362941281,1.88706964903238
Gambia,2.1377104498038118,0,5.8025727811157415,1.2753628004126092,3.077312260546414
Georgia,4.9344739331306915,0,5.675603399254586,1.8961194845522973,2.4336133554004498
Germany,6.320768294250582,1,7.498404465493264,2.4965057856313524,1.7404661748405046
Ghana,3.332204510175204,0,5.560061454036349,1.1346227261911428,3.3357695763397004
Greece,6.335054251498059,1,6.785108798821048,2.3988039507345884,2.624668592163159
Guatemala,4.543294782270004,0,4.863237205190243,1.9600947840472696,1.6486586255873816
Guinea-Bissau,3.49650756146648,0,4.5607310076529854,1.3609765531356006,3.446807892914208
Guyana,4.553876891600541,0,3.6129412882762164,2.1633230256605382,3.3672958299864737
Honduras,4.553876891600541,0,4.84443783774799,1.4883995840570443,2.5494451709255714
Hungary,5.8607862234658645,0,7.6606680394473265,2.7800607370784824,2.3418058061473266
Iceland,6.642486801367255,1,4.827847609264028,1.9987736386123809,1.7227665977411035
India,2.8332133440562166,0,6.917688774706674,0.9895411936137476,2.928523523860541
Indonesia,4.343805421853683,0,5.429635053804768,-0.579818495252942,3.1179499062782403
Iran,4.852030263919617,0,4.6533071086401625,0.029558802241544432,3.7796338173824013
Ireland,6.259581464064922,1,7.219991136836151,2.702702594775616,1.8082887711792648
Israel,5.746203190540153,1,6.780600103496893,0.924258901523332,1.4109869737102618
Italy,6.505784060128229,1,7.389581649138689,2.274185618472348,2.1282317058492684
Jamaica,4.787491742782046,0,7.621870269717423,1.6428726885203375,2.6878474937846906
Japan,6.3835066348840055,1,8.071880741691405,2.052840859882657,1.3350010667323402
Jordan,4.969813299576002,0,4.448434007012229,-0.4307829160924542,3.4934726577713264
Kazakhstan,5.2832037287379885,0,3.539519840145463,2.4069451083182885,3.0726933146901194
Kenya,3.0445224377234235,0,5.620864655609995,1.355835153635182,3.3393219779440684
Kiribati,5.041875529832312,0,6.716764937251736,0.9932517730102834,1.7047480922384253
Kuwait,6.184148890937482,0,5.776459783580627,-2.302585092994045,2.8033603809065357
Kyrgyzstan,4.135806352029696,0,5.143326703471053,1.551808799597464,3.152736022363656
Laos,3.054001181677967,0,5.118560086751347,1.9444805562457188,3.0910424533583165
Latvia,6.161207321695078,0,7.0311837876634335,2.598979106047848,2.7408400239252013
Liberia,1.0986122886681098,0,4.555751288695149,1.623340817603092,3.068052935133617
Libya,5.66988092298052,0,4.040357745940431,-2.302585092994045,3.2347491740244907
Lithuania,6.302618975744905,0,1.762711783787824,2.791165107812717,2.7408400239252013
Luxembourg,6.616065185132817,1,7.611480498363258,2.552565298261815,2.0918640616783932
Madagascar,2.9444389791664403,0,4.7171979193226194,0.27763173659827955,2.856470206220483
Malawi,2.0794415416798357,0,4.8706848351908745,0.3646431135879093,3.8155121050473024
Malaysia,5.811140992976701,0,5.701718177150131,-0.13926206733350766,3.5409593240373143
Mali,2.5649493574615367,0,2.7246852616067416,-0.01005033585350145,3.0204248861443626
Malta,6.472346294500903,1,9.189879300104844,1.4109869737102618,1.1314021114911006
Mauritius,5.0689042022202315,0,6.920419841823459,1.2612978709452054,2.6461747973841225
Mexico,5.579729825986222,0,5.223565740603208,2.145931282948669,2.5726122302071057
Moldova (republic of Moldova),4.9344739331306915,0,5.620650495502063,3.135928904047274,2.6741486494265287
Mongolia,4.276666119016055,0,3.4490032388513128,1.2267122912954254,3.4531571205928664
Mozambique,2.302585092994046,0,3.633328315592337,0.8197798314933114,3.6428355156125294
Namibia,4.758749273916392,0,4.353697210744758,2.4388627112865935,3.977810745966149
Nepal,1.6677068205580765,0,4.810080332677402,0.883767540168595,2.4336133554004498
Netherlands,6.257667587882639,1,8.100152896029272,2.277267285009756,1.3862943611198906
New Zealand,6.597145701886651,1,3.0409216710678133,2.301584592660462,2.33214389523559
Nicaragua,4.060443010546419,0,6.586468256215304,1.6505798557652755,2.617395832834079
Niger,1.9459101490553128,0,2.705099258348475,-1.0788096613719298,2.7013612129514133
Nigeria,3.492256112609122,0,5.343020242896379,2.543175557911976,3.068052935133617
Norway,6.3543700407973525,1,5.664390669615465,2.122261538862764,1.6486586255873816
Oman,5.4289069362516384,0,5.5273739295999516,-0.08338160893905101,2.5877640352277083
Pakistan,2.4849066497880004,0,5.781831083509902,-2.9957322735539917,2.7408400239252013
Paraguay,4.4649881553882285,0,4.283946796228763,2.0681277817795625,3.100092288878234
Peru,4.174387269895637,0,4.671435033194413,1.87640694328834,2.631888840136646
Philippines,3.4657359027997265,0,6.565973639057933,1.805004695978076,2.360854001118021
Poland,6.204557762568692,0,7.2122853647037815,2.66930937278578,2.6602595372658606
Qatar,6.3349123974656205,0,6.5237424250657154,0.25464221837358075,3.1484533605716547
Romania,5.389071729816501,0,5.849003175075112,2.7819200496686656,2.5649493574615367
Russia,5.575949103146316,0,4.051964189935463,2.7868613815265,3.086486636822455
Rwanda,1.3862943611198906,0,6.276371110677659,2.301584592660462,3.186352633162641
Saint Vincent and the Grenadines,5.318119993844216,0,8.139037707960746,1.6074359097634274,2.151762203259462
Samoa,4.402074329977659,0,6.6768541336722285,1.506297153514587,2.0014800002101243
Sao Tome and Principe,0.7514160886839212,0,5.767321495460688,2.1341664413690817,2.5649493574615367
Senegal,3.0910424533583165,0,4.26830029653295,-0.6733445532637656,2.8791984572980396
Serbia,5.433722003554242,0,6.014953008211298,2.502255288122613,2.360854001118021
Seychelles,5.2115605026217535,0,7.0179393076096686,2.494031557565001,2.028148247292285
Sierra Leone,1.791759469228055,0,5.059509532596295,2.2491843162669305,3.407841924380824
Singapore,5.043425116919247,1,8.48523034737933,0.4317824164255378,1.6677068205580758
Slovakia,5.8200829303523625,1,6.797846269649417,2.58851563240702,2.5572273113676265
Slovenia,6.336825731146441,1,7.5601020452161425,2.7040421797046714,2.2823823856765264
South Africa,5.075173815233828,0,5.693138930103687,2.318458442150336,3.0056826044071583
Spain,6.406879986069312,1,7.207628428288047,2.470638677990296,1.8082887711792648
Sri Lanka,3.828641396489095,0,7.244804351835952,-0.21072103131565253,2.4423470353692043
Sudan,3.3541057741283047,0,1.5579263645546515,0.9400072584914712,3.6686767467964168
Suriname,5.459585514144161,0,3.271894829703548,1.8809906029559973,3.086486636822455
Swaziland,4.5469052778561165,0,5.332679561981504,1.6193882432872684,3.8753590210565534
Sweden,6.255750041753367,1,7.149298880832473,2.3005830903233733,1.4109869737102618
Switzerland,6.3403593037277535,1,7.456188825098053,2.4344901638739844,1.3350010667323402
Syria (Syrian Arab Republic),4.043051267834549,0,5.908240821430143,0.3987761199573678,2.785011242238338
Taijikistan,3.6958550678503617,0,5.268059857654283,1.2208299213923592,1.3609765531356006
Togo,0.6931471805599453,0,4.8860492106002775,0.6523251860396901,2.975529566236472
Trinidad and Tobago,5.9247369650572725,0,7.3917018141968835,1.8180767775454283,2.785011242238338
Tunisia,4.736198448394496,0,4.766845290339949,0.04879016416943205,3.0106208860477417
Turkey,4.927253685157205,0,6.1114798947589435,1.1052568313867783,2.19722457733622
Turkmenistan,4.663439094112067,0,4.787833144581136,1.6094379124341005,2.3513752571634776
Uganda,1.9459101490553128,0,5.70284999461576,2.7972813348301537,3.5467396869528134
Ukraine,5.0998664278242005,0,5.637507220901745,2.860485124145965,2.9338568698359038
United Arab Emirates,5.804472098664129,0,3.8964584888870335,-0.6539264674066639,3.370738174177447
United Kingdom,6.26530121273771,1,7.384668646458111,2.5832425505088623,1.5686159179138452
Uruguay,5.267858159063328,0,6.0892890775460105,2.196112848483529,2.26176309847379
USA,6.703188113240862,1,6.515722633381992,2.272125885509337,2.631888840136646
Venezuela (Bolivarian Republic of Venezuela),5.048701494902712,0,4.658021938612023,2.028148247292285,3.5779478934066544
Viet Nam,2.6232182655855127,0,6.305999056610919,1.3635373739972745,3.258096538021482
Yemen,3.6136169696133895,0,4.905612142492158,-1.6094379124341005,3.6189933266497696
Zambia,3.0445224377234235,0,4.799885818303262,1.269760544863939,3.634951112088381
Zimbabwe,4.794467356518472,0,5.5175822395470036,1.6014057407368358,2.96010509591084
